question,solution
viết chương trình python để cộng hai số,"num1 = 1.5
num2 = 6.3
sum = num1 + num2
print(f'Sum: {sum}')


"
viết hàm python để cộng hai số do người dùng cung cấp và trả về tổng,"def add_two_numbers(num1, num2):
    sum = num1 + num2
    return sum


"
viết chương trình tìm và in ra số lớn nhất trong 3 số,"
num1 = 10
num2 = 12
num3 = 14
if (num1 >= num2) and (num1 >= num3):
   largest = num1
elif (num2 >= num1) and (num2 >= num3):
   largest = num2
else:
   largest = num3
print(f'largest:{largest}')


"
viết chương trình tìm và in ra số nhỏ nhất trong 3 số,"num1 = 10
num2 = 12
num3 = 14
if (num1 <= num2) and (num1 <= num3):
   smallest = num1
elif (num2 <= num1) and (num2 <= num3):
   smallest = num2
else:
   smallest = num3
print(f'smallest:{smallest}')


"
Viết hàm python để hợp nhất hai danh sách đã cho thành một,"def merge_lists(l1, l2):
    return l1 + l2


"
Viết chương trình kiểm tra một số có phải là số nguyên tố hay không,"num = 337

if num > 1:
   for i in range(2, num//2 + 1):
       if (num % i) == 0:
           print(num,""is not a prime number"")
           print(f""{i} times {num//i} is {num}"")
           break
   else:
       print(f""{num} is a prime number"")

else:
   print(f""{num} is not a prime number"")


"
Viết hàm python in ra các thừa số của một số cho trước,"def print_factors(x):
   print(f""The factors of {x} are:"")
   for i in range(1, x + 1):
       if x % i == 0:
           print(i)

"
Viết chương trình tìm giai thừa của một số,"num = 13
factorial = 1

if num < 0:
   print(""No factorials for negative numbers!"")

elif num == 0:
   print(""The factorial of 0 is 1"")

else:
   for i in range(1,num + 1):
       factorial = factorial*i
   print(f""The factorial of {num} is {factorial}"")


"
"Viết hàm python để in xem một số là âm, dương hay bằng 0","def check_pnz(num):
    if num > 0:
       print(""Positive number"")

    elif num == 0:
       print(""Zero"")

    else:
       print(""Negative number"")


"
Viết chương trình in bảng cửu chương của một số cho trước,"
num = 9
for i in range(1, 11):
   print(f""{num} x {i} = {num*i}"")


"
"Viết hàm python để in lũy thừa của 2, với số hạng cho trước","def two_power(terms):
    result = list(map(lambda x: 2 ** x, range(terms)))

    print(f""The total terms are: {terms}"")
    for i in range(terms):
       print(f""2^{i} = {result[i]}"")


"
Viết chương trình lọc các số trong danh sách chia hết cho một số cho trước,"my_list = [11, 45, 74, 89, 132, 239, 721, 21]

num = 3
result = list(filter(lambda x: (x % num == 0), my_list))

print(f""Numbers divisible by {num} are {result}"")


"
Viết hàm python trả về tổng n số tự nhiên,"def sum_natural(num):
    if num < 0:
       print(""Please enter a positive number!"")
    else:
       sum = 0
       while(num > 0):
           sum += num
           num -= 1
       return num

"
Viết chương trình hoán đổi phần tử đầu tiên và cuối cùng trong danh sách,"my_list = [1, 2, 3, 4, 5, 6]
my_list[0], my_list[-1] = my_list[-1], my_list[0]


"
Viết hàm python để tìm diện tích hình tròn biết bán kính,"def findArea(r): 
    PI = 3.142
    return PI * (r*r)


"
Viết chương trình in tổng bình phương của n số tự nhiên đầu tiên,"n = 21
sum_n = 0
for i in range(1, n+1):
    sum_n += i**2
print(sum_n)


"
Viết chương trình in ra độ dài của danh sách,"my_list = [1, 2, 3, 4, 5, 6, 7, 8, 9]

print(len(my_list))


"
Viết hàm pythno để in độ dài của một bộ dữ liệu nhất định,"my_tuple = (1, 2, 3, 4, 5, 6, 7, 8)

print(len(my_tuple))


"
"Viết hàm python để in các phần tử của danh sách cho trước, một phần tử trên một dòng","def custom_print(l):
    for _ in l:
        print(_)


"
Viết hàm python để xóa tất cả các số lẻ khỏi danh sách và trả về danh sách còn lại,"
def remove_odd(my_list):
    result = list(filter(lambda x: (x % 2 == 0), my_list))
    return result


"
Viết hàm python để xóa tất cả các số chẵn khỏi danh sách và trả về danh sách còn lại,"
def remove_even(my_list):
    result = list(filter(lambda x: (x % 2 != 0), my_list))
    return result


"
Viết hàm lấy hai danh sách làm đầu vào và trả về danh sách nén gồm các phần tử tương ứng,"
def zip_list(list1, list2):
    return list(zip(list1, list2))


"
Viết chương trình in nội dung của một file đã cho,"file_name = 'temp.txt'
with open(file_name, 'r') as f:
    print(f.read())


"
